osha_establishment_id,cms_ccn,tier,name_score,addr_score,hno_match,zip_match
1524216,055987,A,1.0,1.0,True,True
1185361,055988,A,1.0,0.941,True,False
1524218,056014,A,1.0,1.0,True,True
1502602,056021,A,1.0,1.0,True,True
1504178,056024,A,1.0,1.0,True,True
1467595,056037,A,1.0,1.0,True,True
1506501,056039,A,1.0,1.0,True,True
1147065,056040,A,1.0,1.0,True,True
440215,056043,A,1.0,1.0,True,True
1467621,056048,A,1.0,1.0,True,True
1184433,056052,A,1.0,1.0,True,True
802936,056053,A,1.0,1.0,True,True
1502771,056065,A,1.0,1.0,True,True
971218,056066,A,1.0,1.0,True,True
1308955,056069,A,1.0,1.0,True,True
923285,056072,A,1.0,1.0,True,True
1503009,056073,A,1.0,1.0,True,True
998856,056076,A,1.0,1.0,True,False
1300454,056084,A,1.0,1.0,True,True
1305934,056095,A,1.0,1.0,True,True
1192744,056098,A,1.0,1.0,True,True
1470916,056103,A,1.0,1.0,True,True
1524430,056104,A,1.0,1.0,True,True
872031,056113,A,1.0,0.95,True,True
1310252,056115,A,1.0,1.0,True,True
1470614,056116,A,1.0,1.0,True,True
1467848,056120,A,1.0,1.0,True,True
1492688,056121,A,1.0,1.0,True,True
1504859,056122,A,1.0,1.0,True,True
406949,056129,A,1.0,1.0,True,True
1492766,056139,A,1.0,1.0,True,True
1524300,056144,A,1.0,1.0,True,True
1503643,056153,A,1.0,1.0,True,True
1198030,056158,A,1.0,1.0,True,True
639167,056159,A,1.0,1.0,True,True
1187424,056164,A,1.0,1.0,True,True
1492742,056166,A,1.0,1.0,True,True
1524197,056169,A,1.0,1.0,True,True
561816,056174,A,1.0,0.95,True,True
1537071,056176,A,1.0,1.0,True,True
1455651,056178,A,1.0,1.0,True,True
1524311,056180,A,1.0,1.0,True,True
983706,056182,A,1.0,1.0,True,True
1214134,056189,A,1.0,1.0,True,True
1148930,056192,A,1.0,1.0,True,True
1303729,056203,A,1.0,1.0,True,True
1524381,056205,A,1.0,1.0,True,True
1524379,056207,A,1.0,1.0,True,True
1494158,056212,A,1.0,1.0,True,True
1475871,056214,A,1.0,1.0,True,True
951802,056215,A,1.0,1.0,True,True
1244124,056216,A,1.0,1.0,True,True
1258230,056222,A,1.0,1.0,True,True
492240,056229,A,1.0,1.0,True,True
681377,056237,A,1.0,1.0,True,True
1499217,056238,A,1.0,1.0,True,True
1521830,056243,A,1.0,1.0,True,True
909662,056253,A,1.0,1.0,True,True
346870,056259,A,1.0,1.0,True,True
1134648,056267,A,1.0,1.0,True,True
1027644,056271,A,1.0,1.0,True,True
405820,056291,A,1.0,1.0,True,True
1502590,056294,A,0.815,0.903,True,True
1312105,056298,A,1.0,1.0,True,True
1455138,056300,A,1.0,1.0,True,True
1460726,056308,A,1.0,1.0,True,True
1529958,056317,A,1.0,0.974,True,True
860589,056321,A,1.0,1.0,True,True
1524411,056328,A,1.0,1.0,True,True
1228811,056334,A,1.0,1.0,True,True
1524385,056337,A,1.0,1.0,True,True
1524236,056351,A,1.0,0.889,True,True
1524202,056360,A,1.0,1.0,True,True
1455158,056361,A,1.0,1.0,True,True
1524467,056364,A,1.0,1.0,True,True
1384289,056365,A,1.0,1.0,True,True
1524219,056372,A,1.0,1.0,True,True
1502650,056378,A,1.0,1.0,True,True
1446685,056389,A,1.0,1.0,True,True
972693,056399,A,1.0,1.0,True,True
1524356,056401,A,1.0,1.0,True,True
740694,056405,A,1.0,1.0,True,True
1511446,056410,A,1.0,0.968,True,True
1524391,056411,A,1.0,1.0,True,True
1437298,056422,A,1.0,1.0,True,True
350250,056430,A,1.0,1.0,True,True
1317506,056435,A,1.0,1.0,True,True
808192,056447,A,1.0,1.0,True,True
1516019,056451,A,1.0,1.0,True,True
1449536,056456,A,0.609,1.0,True,True
969463,056457,A,1.0,1.0,True,True
1470364,056471,A,1.0,1.0,True,True
439706,056475,A,1.0,1.0,True,True
1514728,056485,A,1.0,1.0,True,True
1449427,056489,A,0.744,1.0,True,True
676254,056495,A,1.0,1.0,True,True
1399546,056499,A,1.0,1.0,True,True
1452276,05A027,A,1.0,0.944,True,True
1257444,05A134,A,1.0,1.0,True,True
951970,05A137,A,1.0,1.0,True,True
952613,05A208,A,0.852,1.0,True,True
1206862,05A264,A,1.0,1.0,True,True
1466648,05A269,A,1.0,1.0,True,True
803426,05A277,A,1.0,1.0,True,True
295268,05A408,A,1.0,1.0,True,True
1372444,065009,A,1.0,0.909,True,True
1496159,065015,A,1.0,1.0,True,True
1522835,065052,A,1.0,1.0,True,True
1524266,065077,A,1.0,1.0,True,True
981927,065092,A,1.0,1.0,True,True
1380997,065097,A,1.0,1.0,True,True
1524427,065100,A,1.0,1.0,True,True
1390319,065108,A,1.0,1.0,True,True
1524347,065113,A,1.0,1.0,True,True
1509863,065119,A,1.0,0.875,True,True
1143611,065120,A,1.0,1.0,True,True
1524296,065124,A,1.0,1.0,True,True
1390342,065146,A,1.0,1.0,True,True
1400858,065150,A,1.0,1.0,True,True
1053633,065153,A,1.0,1.0,True,True
1483266,065163,A,1.0,1.0,True,True
1524424,065165,A,1.0,1.0,True,True
1524264,065171,A,1.0,1.0,True,True
168509,065179,A,1.0,1.0,True,True
1283846,065181,A,1.0,1.0,True,True
1479662,065183,A,1.0,1.0,True,True
1479663,065189,A,1.0,1.0,True,True
1390326,065192,A,1.0,1.0,True,True
1156743,065193,A,1.0,1.0,True,True
1524339,065196,A,1.0,1.0,True,True
879924,065202,A,1.0,1.0,True,True
1178063,065206,A,1.0,1.0,True,True
1156041,065208,A,1.0,1.0,True,True
1293086,065209,A,1.0,1.0,True,True
1472378,065211,A,1.0,1.0,True,True
1372521,065212,A,1.0,1.0,True,True
1493974,065213,A,1.0,1.0,True,True
613591,065217,A,1.0,1.0,True,True
1524215,065219,A,1.0,1.0,True,True
1379741,065222,A,1.0,1.0,True,True
733240,065223,A,1.0,1.0,True,True
1372374,065226,A,1.0,1.0,True,True
1156385,065228,A,1.0,1.0,True,True
1524315,065229,A,1.0,1.0,True,True
1524453,065230,A,1.0,1.0,True,True
1208924,065231,A,1.0,1.0,True,False
1413874,065233,A,1.0,1.0,True,True
1295526,065237,A,1.0,1.0,True,True
1501991,065238,A,1.0,0.971,True,True
708551,065239,A,1.0,1.0,True,True
1014761,065240,A,1.0,1.0,True,True
1502794,065241,A,1.0,1.0,True,True
1524262,065243,A,1.0,1.0,True,True
819330,065247,A,1.0,1.0,True,True
1381346,065248,A,1.0,1.0,True,True
838910,065253,A,1.0,1.0,True,True
641338,065255,A,1.0,1.0,True,True
1508235,065256,A,1.0,1.0,True,True
1016792,065265,A,1.0,1.0,True,True
1537709,065269,A,1.0,1.0,True,True
798979,065276,A,1.0,1.0,True,True
1390307,065278,A,1.0,1.0,True,True
1098285,065282,A,1.0,1.0,True,True
1524419,065283,A,1.0,1.0,True,True
1479668,065284,A,1.0,1.0,True,True
1151817,065290,A,1.0,1.0,True,True
65244,065292,A,1.0,1.0,True,True
1400765,065296,A,1.0,1.0,True,True
1135840,065297,A,1.0,1.0,True,True
1173984,065298,A,1.0,1.0,True,True
1174080,065299,A,1.0,0.973,True,True
1178007,065302,A,1.0,1.0,True,True
1173902,065308,A,1.0,1.0,True,True
1173950,065311,A,1.0,1.0,True,False
1285428,065316,A,1.0,1.0,True,True
1524302,065318,A,1.0,1.0,True,True
1524206,065321,A,1.0,1.0,True,True
1524304,065322,A,1.0,1.0,True,True
1152615,065323,A,1.0,0.938,True,True
1263133,065327,A,1.0,1.0,True,True
1172392,065330,A,1.0,1.0,True,True
1304939,065332,A,1.0,1.0,True,True
1173934,065347,A,1.0,1.0,True,True
1174013,065351,A,1.0,0.857,True,True
994816,065356,A,1.0,1.0,True,True
1540186,065358,A,1.0,1.0,True,True
1456471,065360,A,1.0,1.0,True,True
1248219,065361,A,1.0,1.0,True,True
1296332,065366,A,1.0,1.0,True,True
730949,065368,A,1.0,1.0,True,True
1069738,065370,A,1.0,1.0,True,False
1452991,065373,A,0.947,0.88,True,True
1524484,065388,A,1.0,1.0,True,True
1534277,065393,A,1.0,1.0,True,True
1101857,065396,A,1.0,0.971,True,True
1308863,065397,A,1.0,1.0,True,True
1265329,065401,A,1.0,1.0,True,True
1509775,065403,A,1.0,0.97,True,True
1524445,065404,A,1.0,0.941,True,True
1524394,065405,A,1.0,1.0,True,True
1464188,065407,A,1.0,1.0,True,True
1474096,065413,A,1.0,1.0,True,True
1502725,065415,A,1.0,1.0,True,True
957662,065416,A,1.0,1.0,True,True
1370578,065417,A,1.0,1.0,True,True
1509776,065419,A,1.0,1.0,True,True
1480007,065425,A,1.0,1.0,True,True
1522091,065427,A,1.0,1.0,True,True
1400836,065430,A,1.0,1.0,True,True
953089,065431,A,1.0,1.0,True,True
1534489,065435,A,0.8,1.0,True,False
1143042,065436,A,0.627,1.0,True,True
1521776,075034,A,0.64,1.0,True,True
1369141,075044,A,1.0,1.0,True,True
1311096,075047,A,1.0,1.0,True,True
1459286,075064,A,1.0,1.0,True,True
1139372,075070,A,1.0,1.0,True,True
817696,075084,A,1.0,1.0,True,True
1399140,075089,A,1.0,1.0,True,True
971310,075105,A,1.0,1.0,True,True
1528921,075111,A,1.0,1.0,True,True
1451104,075113,A,1.0,1.0,True,True
107059,075135,A,1.0,1.0,True,True
1284330,075138,A,1.0,1.0,True,True
604483,075144,A,1.0,1.0,True,True
1100357,075146,A,1.0,1.0,True,True
1533322,075163,A,1.0,1.0,True,True
1521790,075181,A,1.0,0.97,True,True
1536093,075183,A,1.0,1.0,True,True
1403645,075192,A,1.0,1.0,True,False
687500,075195,A,1.0,1.0,True,True
1066184,075200,A,1.0,1.0,True,True
1021803,075201,A,1.0,1.0,True,False
1290010,075202,A,1.0,1.0,True,True
735587,075208,A,1.0,1.0,True,True
1276879,075211,A,1.0,1.0,True,True
1096732,075213,A,1.0,1.0,True,True
989333,075216,A,1.0,1.0,True,True
945144,075219,A,1.0,1.0,True,True
1203155,075222,A,1.0,1.0,True,True
1435300,075230,A,1.0,1.0,True,True
1534915,075237,A,1.0,1.0,True,True
1245266,075241,A,1.0,0.938,True,True
691260,075244,A,1.0,1.0,True,True
1029979,075252,A,1.0,1.0,True,True
1399047,075253,A,1.0,1.0,True,True
997487,075257,A,1.0,1.0,True,True
